CEP;CHAVE;UF;TIPO;TITULO;PREPOSICAO;NOME;BAIRRO1;BAIRRO2;LIMINFPAR;LIMINFIMPA;LIMSUPPAR;LIMSUPIMPA;FLAGS;LADOS
1456010;01000;SP;R;;;CAMPO VERDE;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456020;01000;SP;R;;;JACAREZINHO;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456030;01000;SP;R;;;CARLOS MILLAN;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456040;01000;SP;R;;;CASSIO DA COSTA VIDIGAL;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456050;01000;SP;PC;CEL;;PIRES DE ANDRADE;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456060;01000;SP;R;;;CEILAO;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456070;01000;SP;R;;;FRANCISCO SIQUEIRA;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1456090;01000;SP;PC;;;YITZHAK RABIN;JARDIM EUROPA;;0;0;99999999;99999999;0;17
1457000;01000;SP;R;;;IRACI;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457010;01000;SP;R;CEL;;IRLANDINO SANDOVAL;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457020;01000;SP;R;;;MANDURI;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457030;01000;SP;R;;;IBIAPINOPOLIS;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457040;01000;SP;R;DONA;;ANA HELENA DE SALLES GUSMAO;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457050;01000;SP;R;;;ICANA;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1457060;01000;SP;PC;;;GUILHERME KAWALL;JARDIM PAULISTANO;;0;0;99999999;99999999;0;17
1472900;01000;SP;AV;BRIGADEIRO;;FARIA LIMA;JARDIM PAULISTANO;;1478;1478;1478;1478;6;34
1489900;01000;SP;AV;BRIGADEIRO;;FARIA LIMA;JARDIM PAULISTANO;;2232;2232;2232;2232;6;34
